Metrics,Conv5\_3 (Paper),Conv5\_3 (Ours),Conv4\_3 (Paper),Conv4\_3 (Ours),Pool5 (Paper),Pool5 (Ours)
mean ROC-AUC,0.91,0.919,0.6,0.918,0.82,0.927
mean PR-AUC,0.28,0.404,0.09,0.433,0.173,0.457
mean top-5 acc.,0.25,0.741,0.153,0.766,0.02,0.770
